Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,1.6609214544296265,1.6609214544296265,1.6609214544296265,1.6609214544296265,99200,0.0,0.0
1973-02-22,1.6665329933166504,1.6665329933166504,1.6665329933166504,1.6665329933166504,47200,0.0,0.0
1973-02-23,1.6609214544296265,1.6609214544296265,1.6609214544296265,1.6609214544296265,133600,0.0,0.0
1973-02-26,1.6609214544296265,1.6609214544296265,1.6609214544296265,1.6609214544296265,24000,0.0,0.0
1973-02-27,1.6609214544296265,1.6609214544296265,1.6609214544296265,1.6609214544296265,41600,0.0,0.0
1973-02-28,1.6609214544296265,1.6609214544296265,1.6609214544296265,1.6609214544296265,66400,0.0,0.0
1973-03-01,1.6721441745758057,1.6721441745758057,1.6721441745758057,1.6721441745758057,93600,0.0,0.0
1973-03-02,1.6777560710906982,1.6777560710906982,1.6777560710906982,1.6777560710906982,26400,0.0,0.0
1973-03-05,1.7002003192901611,1.7002003192901611,1.7002003192901611,1.7002003192901611,68000,0.0,0.0
1973-03-06,1.7507010698318484,1.7507010698318484,1.7507010698318484,1.7507010698318481,76800,0.0,0.0
1973-03-07,1.7507010698318484,1.7507010698318484,1.7507010698318484,1.7507010698318481,51200,0.0,0.0
1973-03-08,1.7619231939315798,1.7619231939315798,1.7619231939315798,1.7619231939315796,84800,0.0,0.0
1973-03-09,1.7619231939315798,1.7619231939315798,1.7619231939315798,1.7619231939315796,78400,0.0,0.0
1973-03-12,1.756312608718872,1.756312608718872,1.756312608718872,1.756312608718872,73600,0.0,0.0
1973-03-13,1.7619231939315798,1.7619231939315798,1.7619231939315798,1.7619231939315796,47200,0.0,0.0
1973-03-14,1.7675344944000244,1.7675344944000244,1.7675344944000244,1.7675344944000244,50400,0.0,0.0
1973-03-15,1.7619231939315798,1.7619231939315798,1.7619231939315798,1.7619231939315796,70400,0.0,0.0
1973-03-16,1.756312608718872,1.756312608718872,1.756312608718872,1.756312608718872,44800,0.0,0.0
1973-03-19,1.7394790649414062,1.7394790649414062,1.7394790649414062,1.7394790649414062,28000,0.0,0.0
1973-03-20,1.7058117389678955,1.7058117389678955,1.7058117389678955,1.7058117389678955,68800,0.0,0.0
1973-03-21,1.6833653450012207,1.6833653450012207,1.6833653450012207,1.6833653450012207,94400,0.0,0.0
1973-03-22,1.6553109884262085,1.6553109884262085,1.6553109884262085,1.6553109884262085,55200,0.0,0.0
1973-03-23,1.6553109884262085,1.6553109884262085,1.6553109884262085,1.6553109884262085,117600,0.0,0.0
1973-03-26,1.649699091911316,1.649699091911316,1.649699091911316,1.649699091911316,9600,0.0,0.0
1973-03-27,1.649699091911316,1.649699091911316,1.649699091911316,1.649699091911316,15200,0.0,0.0
1973-03-28,1.6721441745758057,1.6721441745758057,1.6721441745758057,1.6721441745758057,141600,0.0,0.0
1973-03-29,1.6945887804031372,1.6945887804031372,1.6945887804031372,1.6945887804031372,120000,0.0,0.0
1973-03-30,1.6945887804031372,1.6945887804031372,1.6945887804031372,1.6945887804031372,85600,0.0,0.0
1973-04-02,1.6833653450012207,1.6833653450012207,1.6833653450012207,1.6833653450012207,52800,0.0,0.0
1973-04-03,1.6721441745758057,1.6721441745758057,1.6721441745758057,1.6721441745758057,23200,0.0,0.0
1973-04-04,1.6609214544296265,1.6609214544296265,1.6609214544296265,1.6609214544296265,78400,0.0,0.0
1973-04-05,1.6553109884262085,1.6553109884262085,1.6553109884262085,1.6553109884262085,78400,0.0,0.0
1973-04-06,1.6553109884262085,1.6553109884262085,1.6553109884262085,1.6553109884262085,36000,0.0,0.0
1973-04-09,1.6553109884262085,1.6553109884262085,1.6553109884262085,1.6553109884262085,28000,0.0,0.0
1973-04-10,1.6945887804031372,1.6945887804031372,1.6945887804031372,1.6945887804031372,88800,0.0,0.0
1973-04-11,1.7058117389678955,1.7058117389678955,1.7058117389678955,1.7058117389678955,144000,0.0,0.0
1973-04-12,1.7282562255859375,1.7282562255859375,1.7282562255859375,1.7282562255859375,140800,0.0,0.0
1973-04-13,1.7282562255859375,1.7282562255859375,1.7282562255859375,1.7282562255859375,13600,0.0,0.0
1973-04-16,1.7282562255859375,1.7282562255859375,1.7282562255859375,1.7282562255859375,40000,0.0,0.0
1973-04-17,1.6833653450012207,1.6833653450012207,1.6833653450012207,1.6833653450012207,92800,0.0,0.0
1973-04-18,1.6777560710906982,1.6777560710906982,1.6777560710906982,1.6777560710906982,25600,0.0,0.0
1973-04-19,1.6833653450012207,1.6833653450012207,1.6833653450012207,1.6833653450012207,39200,0.0,0.0
1973-04-23,1.6609214544296265,1.6609214544296265,1.6609214544296265,1.6609214544296265,48000,0.0,0.0
1973-04-24,1.649699091911316,1.649699091911316,1.649699091911316,1.649699091911316,134400,0.0,0.0
1973-04-25,1.6384767293930054,1.6384767293930054,1.6384767293930054,1.6384767293930054,59200,0.0,0.0
1973-04-26,1.6384767293930054,1.6384767293930054,1.6384767293930054,1.6384767293930054,33600,0.0,0.0
