Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-01-03,7.570034241226899,7.618716239929199,7.570034241226899,7.618716239929199,47952,0.0,0.0
1977-01-04,7.618715366756981,7.6430559158325195,7.594373922709606,7.6430559158325195,34217,0.0,0.0
1977-01-05,7.643054255036023,7.643054255036023,7.570031728704992,7.594372272491455,15422,0.0,0.0
1977-01-06,7.570030540926353,7.570030540926353,7.4726665911141446,7.545689105987549,39036,0.0,0.0
1977-01-07,7.545691155039351,7.570032596588135,7.472668620336489,7.570032596588135,20482,0.0,0.0
1977-01-10,7.570033373634068,7.667397359879895,7.570033373634068,7.6430559158325195,42892,0.0,0.0
1977-01-11,7.643050826038226,7.691732786741996,7.643050826038226,7.667392253875732,22169,0.0,0.0
1977-01-12,7.6673922538757315,7.6673922538757315,7.570028332468193,7.667392253875732,34940,0.0,0.0
1977-01-13,7.66739907968095,7.76476219279353,7.66739907968095,7.716080188751221,34458,0.0,0.0
1977-01-14,7.716080322075411,7.764762326958884,7.691739767119701,7.740421772003174,20723,0.0,0.0
1977-01-17,7.643055131290996,7.643055131290996,7.5213506084623125,7.570032596588135,33735,0.0,0.0
1977-01-18,7.570031728704992,7.594372272491454,7.521349746160423,7.594372272491455,34217,0.0,0.0
1977-01-19,7.594374793092078,7.618716239929199,7.545692794389778,7.618716239929199,19759,0.0,0.0
1977-01-20,7.618714584713958,7.667396572839781,7.472668620336489,7.570032596588135,79518,0.0,0.0
1977-01-21,7.570032596588135,7.594373143165173,7.497009614399401,7.570032596588135,19277,0.0,0.0
1977-01-24,7.570031728704992,7.594372272491454,7.521349746160423,7.594372272491455,24096,0.0,0.0
1977-01-25,7.594373922709606,7.667397359879895,7.594373922709606,7.6430559158325195,25060,0.0,0.0
1977-01-26,7.618714584713958,7.618714584713958,7.545691155039351,7.570032596588135,22892,0.0,0.0
1977-01-27,7.570031728704992,7.594372272491454,7.497008754888139,7.594372272491455,26506,0.0,0.0
1977-01-28,7.570031728704992,7.594372272491454,7.497008754888139,7.594372272491455,26506,0.0,0.0
1977-01-31,7.570032370429971,7.570032370429971,7.497009390422831,7.521350383758545,18072,0.0,0.0
1977-02-01,7.5213506084623125,7.570032596588135,7.5213506084623125,7.570032596588135,20241,0.0,0.0
1977-02-02,7.570032370429971,7.594372916279824,7.521350383758544,7.521350383758545,72048,0.0,0.0
1977-02-03,7.521350383758544,7.594372916279824,7.448327403751405,7.521350383758545,186988,0.0,0.0
1977-02-04,7.521348566020248,7.594371080893652,7.497007578567197,7.545689105987549,35663,0.0,0.0
1977-02-07,7.545691155039351,7.594373143165173,7.5213506084623125,7.570032596588135,20723,0.0,0.0
1977-02-08,7.570031728704992,7.61871371124956,7.545690289946886,7.594372272491455,23614,0.0,0.0
1977-02-09,7.594371080893652,7.594371080893652,7.521348566020248,7.545689105987549,17349,0.0,0.0
1977-02-10,7.545691929586692,7.6430559158325195,7.545691929586692,7.6430559158325195,16386,0.0,0.0
1977-02-11,7.64305679179438,7.64305679179438,7.570034241226899,7.618716239929199,24819,0.0,0.0
1977-02-14,7.61871371124956,7.61871371124956,7.570031728704992,7.594372272491455,17349,0.0,0.0
1977-02-15,7.594372272491454,7.594372272491454,7.545690289946886,7.594372272491455,16867,0.0,0.0
1977-02-16,7.594372272491454,7.61871371124956,7.545690289946886,7.594372272491455,25301,0.0,0.0
1977-02-17,7.594373143165173,7.618714584713958,7.570032596588135,7.570032596588135,22410,0.0,0.0
1977-02-18,7.570033373634068,7.6430559158325195,7.545691929586692,7.6430559158325195,26265,0.0,0.0
