Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-11-21,0.0,0.5907766314032846,0.5800784970927171,0.5860217809677124,5177899,0.0,0.0
1983-11-22,0.0,0.5860214883831159,0.5812668204307556,0.5812668204307556,3884616,0.0,0.0
1983-11-23,0.0,0.5824558203187284,0.5765123924780721,0.5788897275924683,2143291,0.0,0.0
1983-11-25,0.0,0.582455458638171,0.5788893681263044,0.580078125,4475650,0.0,0.0
1983-11-28,0.0,0.5812668048142898,0.5741347670555115,0.5741347670555115,5713325,0.0,0.0
1983-11-29,0.0,0.5729459377240752,0.5646251440048218,0.5646251440048218,3039374,0.0,0.0
1983-11-30,0.0,0.5670029637304238,0.5598709207573199,0.5610595345497131,5174722,0.0,0.0
1983-12-01,0.0,0.5681914710359123,0.5622480444762733,0.5670027136802673,12648437,0.0,0.0
1983-12-02,0.0,0.5670024776170506,0.5634365312314729,0.5646251440048218,2553202,0.0,0.0
1983-12-05,0.0,0.5658142631319915,0.562248170375824,0.562248170375824,1987589,0.0,0.0
1983-12-06,0.0,0.563436632207783,0.5598705410957336,0.5598705410957336,3927514,0.0,0.0
1983-12-07,0.0,0.5622483948649741,0.5539275924960221,0.5574936866760254,8342789,0.0,0.0
1983-12-08,0.0,0.5598710227595592,0.5563049285795558,0.5574936866760254,8574754,0.0,0.0
1983-12-09,0.0,0.5574934546610634,0.5527386043634414,0.5539273619651794,9132422,0.0,0.0
1983-12-12,0.0,0.5563046708542184,0.5539273358720586,0.5551160573959351,4474061,0.0,0.0
1983-12-13,0.0,0.5622479111558665,0.5539271159454016,0.5598705410957336,9666259,0.0,0.0
1983-12-14,0.0,0.5681917216103148,0.5598709207573199,0.5610595345497131,6601464,0.0,0.0
1983-12-15,0.0,0.5622483948649741,0.5563049285795558,0.5574936866760254,4914158,0.0,0.0
1983-12-16,0.0,0.5610596367685046,0.5539275924960221,0.5574936866760254,4410509,0.0,0.0
1983-12-19,0.0,0.5586822646630897,0.5563049285795558,0.5574936866760254,4968178,0.0,0.0
1983-12-20,0.0,0.5598705410957336,0.5563044499836843,0.5598705410957336,3191899,0.0,0.0
1983-12-21,0.0,0.5610595345497131,0.5563048272270191,0.5610595345497131,9906168,0.0,0.0
1983-12-22,0.0,0.5622483948649741,0.5574936866760254,0.5574936866760254,10011029,0.0,0.0
1983-12-23,0.0,0.558681845664978,0.5539271770637989,0.558681845664978,5112758,0.0,0.0
1983-12-27,0.0,0.5586822646630897,0.5551163145706105,0.5574936866760254,3371434,0.0,0.0
1983-12-28,0.0,0.5634369254112244,0.5574934971680287,0.5634369254112244,7093992,0.0,0.0
1983-12-29,0.0,0.5634368919757909,0.5610594127539904,0.562248170375824,5942112,0.0,0.0
1983-12-30,0.0,0.5658140022679158,0.5598705410957336,0.5598705410957336,3870317,0.0,0.0
1984-01-03,0.0,0.5812667377863195,0.5610590596543471,0.580078125,3298349,0.0,0.0
1984-01-04,0.0,0.6133615817183187,0.5860216739941965,0.6086066961288452,8595408,0.0,0.0
1984-01-05,0.0,0.6193051331465831,0.6038521129904105,0.6062294840812683,5363789,0.0,0.0
1984-01-06,0.0,0.6086069433252949,0.5907767635162168,0.59196537733078,6042206,0.0,0.0
1984-01-09,0.0,0.5931538398717694,0.5860216202077527,0.5895877480506897,4278638,0.0,0.0
1984-01-10,0.0,0.5919650825616475,0.5860216202077527,0.5895877480506897,4354901,0.0,0.0
1984-01-11,0.0,0.5979086595072785,0.5907765825637978,0.5931539535522461,5621174,0.0,0.0
1984-01-12,0.0,0.5967198640150413,0.5907764023352325,0.5943425297737122,3549379,0.0,0.0
1984-01-13,0.0,0.603852391242981,0.5943430105632654,0.603852391242981,5357434,0.0,0.0
1984-01-16,0.0,0.6216824393005345,0.5990974136792027,0.6157390475273132,4486771,0.0,0.0
1984-01-17,0.0,0.6181159615516663,0.6121725014371395,0.6181159615516663,3492182,0.0,0.0
1984-01-18,0.0,0.6276256699154447,0.6181161169329643,0.6264369487762451,5911925,0.0,0.0
1984-01-19,0.0,0.6276261382466448,0.6193053722381592,0.6193053722381592,3991066,0.0,0.0
1984-01-20,0.0,0.6204939501768583,0.6145504841332893,0.6193053722381592,3282461,0.0,0.0
1984-01-23,0.0,0.6204933311887395,0.6157386639582803,0.6181159615516663,2343480,0.0,0.0
1984-01-24,0.0,0.6228710888376858,0.6157390475273132,0.6157390475273132,2843952,0.0,0.0
1984-01-25,0.0,0.6169276179682626,0.6050408345577051,0.6062294840812683,2105160,0.0,0.0
1984-01-26,0.0,0.6038519027608819,0.5931537725984147,0.5943425297737122,4065739,0.0,0.0
1984-01-27,0.0,0.5967200460567825,0.5872104900592613,0.5931539535522461,5795942,0.0,0.0
1984-01-30,0.0,0.6050409718158895,0.5919653558061366,0.6026636362075806,6531557,0.0,0.0
1984-01-31,0.0,0.605040824850637,0.5979086756706238,0.5979086756706238,2910682,0.0,0.0
1984-02-01,0.0,0.6014745685195527,0.5943425297737122,0.5943425297737122,2521426,0.0,0.0
1984-02-02,0.0,0.595531148317111,0.5907764434814453,0.5907764434814453,5649773,0.0,0.0
1984-02-03,0.0,0.5943428931349078,0.5895880416360281,0.59196537733078,4299293,0.0,0.0
1984-02-06,0.0,0.5919652449520431,0.5860217809677124,0.5860217809677124,3624053,0.0,0.0
1984-02-07,0.0,0.5943428248995606,0.5788898024499903,0.5836445093154907,4292938,0.0,0.0
1984-02-08,0.0,0.5872102454258288,0.5800782074754393,0.5812668204307556,2653296,0.0,0.0
1984-02-09,0.0,0.578889657547288,0.570568859577179,0.570568859577179,3528725,0.0,0.0
1984-02-10,0.0,0.5717573207438019,0.5658138967023519,0.5681912302970886,2918626,0.0,0.0
1984-02-13,0.0,0.5812667377863195,0.5681912406780804,0.580078125,4429574,0.0,0.0
1984-02-14,0.0,0.5919653093683908,0.5788898024499903,0.5836445093154907,4296115,0.0,0.0
1984-02-15,0.0,0.5860214883831159,0.5777007294118626,0.5812668204307556,5397154,0.0,0.0
1984-02-16,0.0,0.583644433843127,0.5705689286155493,0.5788897275924683,4912570,0.0,0.0
1984-02-17,0.0,0.5800783113997309,0.5741348853398596,0.5753234624862671,1723848,0.0,0.0
1984-02-21,0.0,0.5777008329102157,0.5729461280841741,0.5753234624862671,4385088,0.0,0.0
1984-02-22,0.0,0.5824554861219228,0.5741347279410906,0.577700674533844,4431163,0.0,0.0
1984-02-23,0.0,0.5753237722199582,0.5670029712565174,0.5693803429603577,7465771,0.0,0.0
1984-02-24,0.0,0.5717578651829262,0.5610595836556714,0.5658144354820251,7024085,0.0,0.0
1984-02-27,0.0,0.5717573207438019,0.5646251398503753,0.5681912302970886,4516958,0.0,0.0
1984-02-28,0.0,0.5693802455888138,0.5634369254112244,0.5634369254112244,2484883,0.0,0.0
1984-02-29,0.0,0.5717571973800659,0.5610589283482107,0.5717571973800659,6194731,0.0,0.0
1984-03-01,0.0,0.5824557542800903,0.5705688639246428,0.5824557542800903,4400976,0.0,0.0
1984-03-02,0.0,0.5836440989643282,0.5753233047616503,0.577700674533844,3415920,0.0,0.0
1984-03-05,0.0,0.576512402833651,0.571757696497586,0.572946310043335,2060674,0.0,0.0
1984-03-06,0.0,0.5729462304257815,0.5681915247504383,0.570568859577179,2945635,0.0,0.0
1984-03-07,0.0,0.5693802455888138,0.5610594460483397,0.5634369254112244,3106104,0.0,0.0
1984-03-08,0.0,0.570568859577179,0.5610593401609065,0.570568859577179,3015542,0.0,0.0
1984-03-09,0.0,0.5693800843041229,0.5622480444762733,0.5670027136802673,2542080,0.0,0.0
