,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
0,AAPL,20191231,293.65,289.93,293.68,289.52,291.52,0.73,25247625,7380584943.76,292.33
1,AAPL,20191230,291.52,289.46,292.69,285.22,289.8,0.59,36059614,10453027256.01,289.88
2,AAPL,20191227,289.8,291.12,293.97,288.12,289.91,-0.04,36592938,10640987052.59,290.79
3,AAPL,20191226,289.91,284.82,289.98,284.7,284.27,1.98,23334004,6721594592.28,288.06
4,AAPL,20191224,284.27,284.69,284.89,282.92,284.0,0.1,12119715,3442463729.87,284.04
5,AAPL,20191223,284.0,280.53,284.25,280.37,279.44,1.63,24677883,6987787376.05,283.16
6,AAPL,20191220,279.44,282.23,282.65,278.56,280.02,-0.21,69032750,19362726129.45,280.49
7,AAPL,20191219,280.02,279.5,281.18,278.95,279.74,0.1,24626946,6892069771.65,279.86
8,AAPL,20191218,279.74,279.8,281.9,279.12,280.41,-0.24,29024688,8137052995.25,280.35
9,AAPL,20191217,280.41,279.57,281.77,278.8,279.86,0.2,28575797,8019745991.62,280.65
10,AAPL,20191216,279.86,277.0,280.79,276.98,275.15,1.71,32081106,8973217201.55,279.7
11,AAPL,20191213,275.15,271.46,275.3,270.93,271.46,1.36,33432805,9158327843.73,273.93
12,AAPL,20191212,271.46,267.78,272.56,267.32,270.77,0.25,34437043,9304105575.87,270.18
13,AAPL,20191211,270.77,268.81,271.1,268.5,268.48,0.85,19723391,5330164565.68,270.25
14,AAPL,20191210,268.48,268.6,270.07,265.86,266.92,0.58,22632383,6081613269.84,268.71
15,AAPL,20191209,266.92,270.0,270.8,264.91,270.71,-1.4,32182645,8600466234.64,267.24
16,AAPL,20191206,270.71,267.48,271.0,267.3,265.58,1.93,26547493,7164251941.24,269.87
17,AAPL,20191205,265.58,263.79,265.89,262.73,261.74,1.47,18661344,4937028186.82,264.56
18,AAPL,20191204,261.74,261.07,263.31,260.68,259.45,0.88,16810387,4405831807.27,262.09
19,AAPL,20191203,259.45,258.31,259.53,256.29,264.16,-1.78,29377270,7577951696.81,257.95
20,AAPL,20191202,264.16,267.27,268.25,263.45,267.25,-1.16,23693551,6280480128.25,265.07
21,AAPL,20191129,267.25,266.6,268.0,265.9,267.84,-0.22,11654364,3115604831.99,267.33
22,AAPL,20191127,267.84,265.58,267.98,265.31,264.29,1.34,16386122,4368501781.67,266.6
23,AAPL,20191126,264.29,266.94,267.16,262.5,266.37,-0.78,26334883,6991956469.15,265.5
24,AAPL,20191125,266.37,262.71,266.44,262.52,261.78,1.75,21029516,5579768420.02,265.33
25,AAPL,20191122,261.78,262.59,263.18,260.84,262.01,-0.09,16331262,4277327526.24,261.91
26,AAPL,20191121,262.01,263.69,264.0,261.18,263.19,-0.45,30348778,7958952463.09,262.25
27,AAPL,20191120,263.19,265.54,266.08,260.4,266.29,-1.16,26609918,7003235473.13,263.18
28,AAPL,20191119,266.29,267.9,268.0,265.39,267.1,-0.3,19069598,5082816181.1,266.54
29,AAPL,20191118,267.1,265.8,267.43,264.23,265.76,0.5,21700899,5774669769.41,266.1
30,AAPL,20191115,265.76,263.68,265.78,263.01,262.64,1.19,25093665,6638861315.87,264.56
31,AAPL,20191114,262.64,263.75,264.88,262.1,264.47,-0.69,22395555,5897674791.88,263.34
32,AAPL,20191113,264.47,261.13,264.78,261.07,261.96,0.96,25817594,6805224232.36,263.59
33,AAPL,20191112,261.96,261.55,262.79,260.92,262.2,-0.09,21847227,5722207999.59,261.92
34,AAPL,20191111,262.2,258.3,262.47,258.28,260.14,0.79,20507461,5347655957.81,260.77
35,AAPL,20191108,260.14,258.69,260.44,256.85,259.43,0.27,17520497,4536277431.56,258.91
36,AAPL,20191107,259.43,258.74,260.35,258.11,257.24,0.85,23735083,6154554729.42,259.3
37,AAPL,20191106,257.24,256.77,257.49,255.37,257.13,0.04,18966125,4866255901.9,256.58
38,AAPL,20191105,257.13,257.05,258.19,256.32,257.5,-0.14,19974426,5142444337.38,257.45
39,AAPL,20191104,257.5,257.33,257.84,255.38,255.82,0.66,25817954,6632169983.04,256.88
40,AAPL,20191101,255.82,249.54,255.93,249.16,248.76,2.84,37781336,9567620850.23,253.24
41,AAPL,20191031,248.76,247.24,249.17,237.26,243.26,2.26,34790520,8620840712.16,247.79
42,AAPL,20191030,243.26,244.76,245.3,241.21,243.29,-0.01,31130524,7560698381.35,242.87
43,AAPL,20191029,243.29,248.97,249.75,242.57,249.05,-2.31,35709868,8744511419.39,244.88
44,AAPL,20191028,249.05,247.42,249.25,246.72,246.58,1.0,24143243,5995786081.75,248.34
45,AAPL,20191025,246.58,243.16,246.73,242.88,243.58,1.23,18369297,4502900675.27,245.13
46,AAPL,20191024,243.58,244.51,244.8,241.81,243.18,0.16,17916254,4353707233.18,243.0
47,AAPL,20191023,243.18,242.1,243.24,241.22,239.96,1.34,19932547,4832255541.55,242.43
48,AAPL,20191022,239.96,241.16,242.2,239.62,240.51,-0.23,22684000,5469988002.4,241.14
49,AAPL,20191021,240.51,237.52,240.99,237.32,236.41,1.73,22367485,5369784491.44,240.07
