epoch,accuracy,loss,val_accuracy,val_loss
0,0.5146952,0.6924621096726775,0.52430797,0.6911615769417074
1,0.5190722,0.6918061755791116,0.5199206,0.6913364076507287
2,0.51942736,0.6916308884305435,0.5257077,0.6908868091028959
3,0.52098906,0.6913014141393652,0.52633446,0.6906974510178725
4,0.52202845,0.6911729812660051,0.52658516,0.6906182656688624
5,0.5207122,0.6911045604175483,0.52725375,0.6904632939211965
6,0.5226918,0.6909676998623462,0.52821475,0.6903658618240114
7,0.5227388,0.6909369726896372,0.52800584,0.6904575016248765
8,0.5233865,0.6906907715247481,0.52959365,0.6902768371384881
9,0.5239662,0.6906524873088926,0.5292594,0.6902670986548021
10,0.524358,0.6904873540621912,0.52478844,0.6903064239713748
11,0.5254182,0.6904737756859577,0.5274835,0.6902260121140599
12,0.5270113,0.6902689040144591,0.5273373,0.6904498904535642
13,0.5270165,0.6902531698355712,0.5254779,0.6902787407027583
14,0.5270635,0.6901874625032232,0.5278805,0.6900893334222664
15,0.5277791,0.6900902680746694,0.52777606,0.6899994346660394
16,0.5273873,0.6900597200826314,0.52905047,0.6899165865957307
17,0.52892816,0.6899125605255472,0.52846545,0.6898806465390607
18,0.5284633,0.6898090668557755,0.5282983,0.6900161981632452
19,0.53034365,0.6896677902799636,0.528361,0.6899101088877122
20,0.5285939,0.6897315203272136,0.52859086,0.6900512237453191
21,0.5296333,0.6895013810265085,0.5293638,0.6898220941039894
22,0.53111666,0.6894913340691168,0.52846545,0.6900727813649573
23,0.5311793,0.6894305283143354,0.52965635,0.6901031420458251
24,0.53043765,0.6892968098977571,0.52775514,0.6900095882055143
25,0.53127855,0.6892269845814102,0.5262718,0.6903193277923164
26,0.5328559,0.6890980284457237,0.5305965,0.6897601810727487
27,0.5327672,0.6891220001233763,0.5318291,0.6898532325417274
28,0.53251123,0.6890453326002703,0.5283401,0.6899355240840965
29,0.5317957,0.6889256024875956,0.5295101,0.6900384052313072
30,0.5339998,0.6888658467523602,0.53224695,0.6897733225327332
31,0.53348273,0.6888071350711318,0.52934295,0.6899438022844946
32,0.5347049,0.6886067618459851,0.5309516,0.6898196347738824
33,0.5354205,0.6884422752139637,0.5291131,0.6900331376414058
34,0.53495044,0.6885319406814873,0.531265,0.6901482746915659
35,0.53588533,0.6882824140374282,0.53107697,0.6899834384791694
36,0.5355093,0.6882879258103735,0.5287998,0.690023528692753
